"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
20015875," 15875 (1996 TP66)",15875,,,N,N,0,7.36,,,,,,,,,,,,,,,,,,,13,2460200.5,60200,2023-09-13.0000000,J2000,.3351489174065699,39.64673822038156,26.359176827119,5.694007424905595,316.7253433625162,75.62976230467332,33.47435390313635,52.93429961364413,.003948143043476165,2451721.994146862606,2000-06-26.4941469,91182.10663487916,249.643002422667,25.3693,9872.970481,21.4378,5.307,1.965E-5,.0013851,.00014351,1.4632E-5,.00031773,.0010565,.0022034,.0018493,2.0689E-7,.12056,4.7782,TNO,"Otto Matic",8858,1996-10-11,2021-01-11,155,,,2,.60884,,,,,,,,,
20015883," 15883 (1997 CR29)",15883,,,N,N,0,7.13,,,,,,,,,,,,,,,,,,,6,2460200.5,60200,2023-09-13.0000000,J2000,.2154641608576043,46.87909418399831,36.77832949387852,19.16367420308914,127.2065077663987,299.7649539240184,76.89839621191484,56.9798588741181,.003070684923358106,2435157.749561176526,1955-02-19.2495612,117237.6876772832,320.979295488797,35.8333,13945.245361,31.9337,5.648,.00013024,.017519,.0082794,.00021511,.00018751,.062234,.077724,.021294,1.7213E-6,11.275,65.718,TNO,"Otto Matic",7711,1997-02-03,2018-03-16,34,,,4,.48892,,,,,,,,,
20016684," 16684 (1994 JQ1)",16684,,,N,N,0,6.71,,,,,,,,,,,,,,,,,,,5,2460200.5,60200,2023-09-13.0000000,J2000,.04767765311635407,43.89680836367815,41.80391156159963,3.753350179226777,25.762750887985,256.0450467029505,329.1626680948763,45.98970516575667,.003388868028944513,2469300.096573764555,2048-08-11.5965738,106230.1620851623,290.842332882032,40.7889,15873.816213,36.5865,5.909,3.2936E-5,.0030618,.0015171,7.4136E-5,.00074671,.049326,.047331,.0032078,3.5456E-7,13.022,11.114,TNO,"Otto Matic",9556,1994-05-11,2020-07-09,90,,,3,.6255,,,,,,,,,
20019255," 19255 (1994 VK8)",19255,,,N,N,0,6.94,,,,,,,,,,4.7,,,,,,,,,7,2460200.5,60200,2023-09-13.0000000,J2000,.03070524160529819,42.92381746759726,41.60583128163297,1.484590903968347,72.33336456552186,109.4927744827757,279.8180668906322,44.24180365356155,.003504746129784734,2483078.600193320621,2086-05-03.1001933,102717.8536386918,281.226156437212,40.6079,15803.376443,36.1468,5.861,.00014604,.011547,.016852,.00027172,.0018286,.33922,.323,.011901,1.4142E-6,83.025,41.448,TNO,"Otto Matic",7347,1995-12-24,2016-02-04,66,,,4,.64148,,,,,,,,,
20019299," 19299 (1996 SZ4)",19299,,,N,N,0,8.47,,,,,,,,,,,,,,,,,,,5,2460200.5,60200,2023-09-13.0000000,J2000,.2639847567348454,39.89647894792146,29.36441665827753,4.731379346951694,15.84240493720222,30.42533884725828,17.78704172063097,50.42854123756539,.00391112972216782,2455652.698473546882,2011-04-01.1984735,92045.0165484317,252.005521008711,28.3741,11042.348497,24.3865,5.454,3.1584E-5,.0020139,.0002227,3.5542E-5,.00039509,.00086099,.0011349,.0025456,2.9614E-7,.11004,6.9694,TNO,"Otto Matic",8536,1996-09-16,2020-01-30,73,,,2,.65755,,,,,,,,,
20019308," 19308 (1996 TO66)",19308,,,N,N,0,4.82,,,,,,,,,,7.92,,,,,,,,,19,2460200.5,60200,2023-09-13.0000000,J2000,.1124538336722722,43.60348102069553,38.70010241846217,27.35249731478993,355.1241923233671,242.4461361977829,143.5027009372834,48.50685962292891,.003423121632314472,2418278.910190684030,1908-12-03.4101907,105167.1657242847,287.932007458685,37.7771,14701.714007,33.8042,5.229,1.3708E-5,.0011205,.001584,4.0147E-5,4.1957E-5,.0077717,.0085356,.0012465,1.3195E-7,.97622,4.0538,TNO,"Otto Matic",14292,1983-10-01,2022-11-17,287,,,2,.65477,,,,,,,,,
20019521," 19521 Chaos (1998 WH24)",19521,Chaos,,N,N,0,4.63,,,,,,,,,,,,,,,,,,,16,2460200.5,60200,2023-09-13.0000000,J2000,.1068082957707939,45.94230460228383,41.03528534393119,12.0108915482572,49.86940067478591,55.44380135771417,348.7393812103798,50.84932386063646,.003165081580713507,2463758.265732876217,2033-06-09.7657329,113741.1440493881,311.406280764923,40.0657,15592.368469,35.9152,5.893,2.649E-5,.0020296,.00061949,5.0408E-5,.00011188,.0097605,.0084324,.0022464,2.0974E-7,2.4366,7.5373,TNO,"Otto Matic",10679,1991-10-17,2021-01-11,162,,,2,.37302,,,,,,,,,
20020000," 20000 Varuna (2000 WR106)",20000,Varuna,,N,N,0,3.79,,,,,,,900,,0.07,6.3436,,,,,,,,140,"JPL 56",2460200.5,60200,2023-09-13.0000000,J2000,.05669457979479486,42.94403779104969,40.50934361379434,17.16106132689132,97.25836662218801,268.7988869149056,116.4278456733461,45.37873196830504,.003502271091524761,2426956.972405836052,1932-09-06.4724058,102790.4438554667,281.424897619348,39.5529,15392.802093,35.769,5.602,2.4306E-6,.00012301,.00016784,2.152E-5,2.7865E-5,.0023769,.0025664,.00012999,1.5048E-8,.60427,.44166,TNO,"Otto Matic",24898,1954-11-24,2023-01-24,839,,,1,.37717,,,,,,,,,
20020108," 20108 (1995 QZ9)",20108,,,N,N,0,7.64,,,,,,,,,,,,,,,,,,,6,2460200.5,60200,2023-09-13.0000000,J2000,.1486742957523145,39.75483277010848,33.84431100526157,19.5185930511468,187.8772522400841,145.55776642,67.34243312253413,45.66535453495538,.00393205132023122,2443073.960278597246,1976-10-22.4602786,91555.26484299057,250.66465391647,32.8526,12785.246342,28.9608,5.283,.0001042,.0096834,.0041989,.00017257,.00019401,.054892,.062711,.011123,1.4366E-6,9.709,33.451,TNO,"Otto Matic",9591,1995-08-29,2021-12-01,36,,,4,.45106,,,,,,,,,
20020161," 20161 (1996 TR66)",20161,,,N,N,0,7.43,,,,,,,,,,,,,,,,,,,5,2460200.5,60200,2023-09-13.0000000,J2000,.3981793836886111,48.22925221555922,29.02535829260527,12.4053067115761,342.9269568972962,310.6161958377363,60.53954351648262,67.43314613851317,.0029426477734731,2439627.346779888307,1967-05-16.8467799,122338.8008735769,334.94538226852,28.0228,10905.633076,23.9473,5.563,.00010502,.024454,.0097348,.00010372,.00044182,.045526,.057301,.034191,2.238E-6,3.8261,93.045,TNO,"Otto Matic",7248,1996-10-08,2016-08-12,32,,,4,.74388,,,,,,,,,
