packed_designation,resonant_count,classical_count,scattering_count,detached_count,other_count
c5447,0,301,0,0,0
c5458,0,301,0,0,0
c5527,301,0,0,0,0
c5528,0,0,0,301,0
c5533,0,301,0,0,0
c5571,301,0,0,0,0
c5607,301,0,0,0,0
c5695,301,0,0,0,0
c6723,0,301,0,0,0
e8832,0,301,0,0,0
f3666,0,0,301,0,0
f5720,0,301,0,0,0
f6400,0,301,0,0,0
g0356,0,301,0,0,0
g7581,301,0,0,0,0
g7614,0,301,0,0,0
h2949,301,0,0,0,0
h4194,0,301,0,0,0
h4390,0,0,0,301,0
h4709,301,0,0,0,0
h7360,0,0,0,301,0
h7871,0,301,0,0,0
h7915,300,1,0,0,0
h8028,301,0,0,0,0
h9858,0,301,0,0,0
i3843,0,301,0,0,0
i4018,0,301,0,0,0
i4025,0,301,0,0,0
i4030,0,301,0,0,0
i4745,301,0,0,0,0
j0265,301,0,0,0,0
j1657,0,0,0,301,0
j5171,0,301,0,0,0
j5206,0,301,0,0,0
j5209,0,301,0,0,0
j5502,301,0,0,0,0
j6826,301,0,0,0,0
k8422,0,301,0,0,0
k9306,301,0,0,0,0
k9333,0,0,0,301,0
k9361,0,301,0,0,0
k9362,301,0,0,0,0
k9372,301,0,0,0,0
k9420,301,0,0,0,0
k9421,301,0,0,0,0
k9438,0,301,0,0,0
k9442,0,0,301,0,0
k9505,301,0,0,0,0
k9506,301,0,0,0,0
k9509,0,301,0,0,0
k9514,0,301,0,0,0
k9584,301,0,0,0,0
k9610,0,301,0,0,0
k9615,0,301,0,0,0
k9704,301,0,0,0,0
k9705,0,301,0,0,0
k9707,301,0,0,0,0
k9708,301,0,0,0,0
k9987,301,0,0,0,0
l0027,0,301,0,0,0
l0083,301,0,0,0,0
l0308,0,301,0,0,0
l0309,301,0,0,0,0
l0316,0,0,0,301,0
l0443,0,301,0,0,0
l0523,301,0,0,0,0
l0593,0,0,301,0,0
l0596,0,301,0,0,0
l0599,0,0,0,301,0
l1137,0,0,0,301,0
l1143,301,0,0,0,0
l1150,0,301,0,0,0
l1151,301,0,0,0,0
l1152,0,0,0,301,0
l1155,0,0,301,0,0
l1165,0,152,149,0,0
l1172,301,0,0,0,0
l1196,0,301,0,0,0
l1210,0,0,0,301,0
l1272,0,0,301,0,0
l1288,0,301,0,0,0
l1318,0,301,0,0,0
l1325,0,0,0,301,0
l1921,0,301,0,0,0
l1954,0,301,0,0,0
l2231,0,301,0,0,0
l2232,0,301,0,0,0
l2235,301,0,0,0,0
l2262,0,196,0,105,0
l2271,0,301,0,0,0
m0017,0,0,0,301,0
m2824,0,0,301,0,0
m3002,0,301,0,0,0
m7581,277,24,0,0,0
m8644,0,301,0,0,0
n1767,301,0,0,0,0
n1768,0,301,0,0,0
n3480,0,301,0,0,0
n5189,301,0,0,0,0
n5190,0,0,0,301,0
n5297,301,0,0,0,0
n5603,301,0,0,0,0
n5613,0,301,0,0,0
n9514,301,0,0,0,0
o0828,301,0,0,0,0
o0829,0,301,0,0,0
o0830,0,301,0,0,0
o0831,0,301,0,0,0
o0832,0,0,301,0,0
o0833,301,0,0,0,0
o0834,301,0,0,0,0
o0835,0,301,0,0,0
o0836,0,301,0,0,0
o0837,0,301,0,0,0
o0838,0,301,0,0,0
o0839,0,301,0,0,0
o0840,0,301,0,0,0
o0856,0,301,0,0,0
o0876,0,0,0,301,0
o0877,301,0,0,0,0
o0878,0,301,0,0,0
o0879,301,0,0,0,0
o0880,301,0,0,0,0
o0881,0,301,0,0,0
o0882,301,0,0,0,0
o0883,301,0,0,0,0
o0884,301,0,0,0,0
o0885,301,0,0,0,0
o0886,0,301,0,0,0
o0887,0,301,0,0,0
o0888,0,301,0,0,0
o1105,0,301,0,0,0
o1546,297,0,0,4,0
o1581,5,232,0,64,0
o3858,301,0,0,0,0
