packed_designation,a_au,Nopp
k8422,43.6736433,5
k8861,187.7730426,12
k9306,43.5326835,18
k9333,54.7194574,18
k9361,42.9090604,12
k9362,39.5296381,12
k9372,39.6446758,19
k9420,42.1184161,15
k9421,39.311986,18
k9438,43.7547293,11
k9442,34.4561038,13
k9505,47.6751321,10
k9506,39.3727814,10
k9509,43.7846966,15
k9514,44.7258158,18
k9584,42.0623815,8
k9610,43.1250304,7
k9615,40.8284037,19
k9704,39.1966929,17
k9705,43.7691761,17
k9707,39.267695,14
k9708,39.2891216,13
k9750,184.6995997,19
k9987,39.372743,17
l0027,42.305986,18
l0083,48.3155514,16
l0308,39.323928,17
l0309,46.202452,14
l0316,50.0971569,17
l0443,46.1816379,14
l0523,42.1145584,15
l0593,88.4572948,13
l0596,45.4625415,16
l0599,67.0918249,16
l1137,61.6875597,17
l1143,68.85474,12
l1150,38.783673,17
l1151,54.8278778,16
l1152,53.2813028,15
l1155,33.257083,8
l1165,38.8000145,17
l1172,54.9958358,11
l1196,40.9002556,15
l1210,51.1043253,14
l1272,57.966485,12
l1288,43.4129107,14
l1318,41.2711159,14
l1325,35.7515357,13
l1512,28.8037629,14
l1921,45.6770137,14
l1954,43.6183113,15
l2231,43.2912358,13
l2232,42.7421774,6
l2235,54.9420491,14
l2262,46.6999463,13
l2271,43.3392665,14
m0017,67.4046514,12
m2824,42.3183127,14
m3002,47.3720844,19
m6958,44.2887751,3
m7581,47.5093171,15
m8644,42.378638,6
n1767,39.7984109,7
n1768,46.5122467,5
n2338,28.9462466,8
n3480,39.9888398,16
n5189,48.1608108,6
n5190,55.7342452,7
n5297,53.7540447,9
n5603,55.0974271,15
n5613,41.920725,14
n6315,148.0899237,5
n9514,42.4314265,14
o0828,43.4077353,4
o0829,42.1727084,5
o0830,43.8569509,4
o0831,40.8950076,5
o0832,85.8392583,6
o0833,39.1655596,4
o0834,39.0052421,4
o0835,43.843603,6
o0836,45.4159623,4
o0837,44.3487435,4
o0838,43.5794804,6
o0839,42.6293313,4
o0840,43.5715626,4
o0856,43.7995748,6
o0876,72.0546664,4
o0877,47.5420496,6
o0878,41.6037233,5
o0879,58.8095372,10
o0880,47.5944861,6
o0881,42.2202925,5
o0882,52.8025867,5
o0883,39.2328866,9
o0884,39.3477414,4
o0885,39.149214,4
o0886,40.5322002,5
o0887,42.2671025,4
o0888,41.1261469,4
o1105,41.9964605,5
o1546,43.3562622,14
o1581,47.139613,14
o3858,39.3783454,6
o3883,42.7314923,6
o4555,39.7729898,16
o4847,46.484545,18
o5412,40.2914455,7
o5446,44.172937,4
o5447,44.4925776,8
o5448,46.6691982,5
o5476,46.2067233,6
o5477,45.4350347,6
o5624,43.3228468,14
o5679,47.9826197,12
o6121,44.0531027,8
o6439,38.907385,7
o6479,155.8598386,7
o8338,173.31392,15
o8770,46.504788,6
o8788,45.8475159,10
o8792,43.2587413,9
o8823,39.5882852,11
o8869,42.6396466,10
p1551,43.7101662,9
p1552,44.0530146,6
p1553,43.9345446,5
p1554,46.8363706,5
p1555,44.8882662,4
p4312,30.9477689,18
p6977,46.0731166,4
p7717,46.6413836,5
q3588,44.3372335,18
q3591,42.950321,15
q3601,47.7046828,19
q3615,44.1443173,7
q3617,48.0378507,13
q3618,39.7579961,16
q3624,52.3849144,17
q3627,42.1343644,15
q3629,41.3872966,15
q3634,40.440135,17
q3635,54.8520717,12
